	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
20	-432.9528108965213	857.5156217930427	285.8385405976809	432.9528108965213	-580.0670811953618	-432.9528108965213	285.8385405976809	285.8385405976809	285.8385405976809	-285.8385405976809	580.0670811953618	285.8385405976809	580.0670811953618	-277.4485405976809	-285.8385405976809	580.0670811953618	-580.0670811953618	-277.4485405976809	277.4485405976809	-277.4485405976809	8.39	285.8385405976809
21	-318.3708543965216	628.3517087930433	209.45056959768107	318.3708543965216	-427.29113919536223	-318.3708543965216	209.4505695976811	209.4505695976811	209.4505695976811	-209.4505695976811	427.29113919536223	209.4505695976811	427.29113919536223	-201.06056959768105	-209.45056959768107	427.29113919536223	-427.29113919536223	-201.06056959768105	201.06056959768105	-201.06056959768102	8.39	209.45056959768112
22	-232.77733264697773	457.1646652939555	152.38822176465183	232.77733264697773	-313.1664435293037	-232.77733264697773	152.38822176465183	152.38822176465183	152.38822176465183	-152.38822176465183	313.1664435293037	152.38822176465183	313.1664435293037	-143.9982217646518	-152.38822176465183	313.1664435293037	-313.1664435293037	-143.99822176465182	143.9982217646518	-143.99822176465182	8.39	152.38822176465186
23	-489.9009581030215	971.411916206043	323.803972068681	489.9009581030215	-655.997944137362	-489.9009581030215	323.803972068681	323.803972068681	323.803972068681	-323.803972068681	655.997944137362	323.803972068681	655.997944137362	-315.413972068681	-323.803972068681	655.997944137362	-655.997944137362	-315.413972068681	315.413972068681	-315.413972068681	8.39	323.803972068681
24	-119.10837614697778	229.82675229395556	76.60891743131853	119.10837614697778	-161.60783486263705	-119.10837614697778	76.60891743131853	76.60891743131853	76.60891743131853	-76.60891743131853	161.60783486263705	76.60891743131853	161.60783486263705	-68.21891743131854	-76.60891743131853	161.60783486263705	-161.60783486263705	-68.21891743131857	68.21891743131854	-68.21891743131853	8.39	76.60891743131853
25	-90.63441644002222	172.87883288004446	57.626277626681485	90.63441644002222	-123.64255525336297	-90.63441644002222	57.626277626681485	57.626277626681485	57.626277626681485	-57.626277626681485	123.64255525336297	57.626277626681485	123.64255525336297	-49.236277626681485	-57.626277626681485	123.64255525336297	-123.64255525336297	-49.2362776266815	49.236277626681485	-49.236277626681485	8.39	57.626277626681485
26	-461.4838326469778	914.5776652939558	304.8592217646519	461.4838326469778	-618.1084435293038	-461.4838326469778	304.8592217646519	304.8592217646519	304.8592217646519	-304.8592217646519	618.1084435293038	304.8592217646519	618.1084435293038	-296.46922176465193	-304.8592217646519	618.1084435293038	-618.1084435293038	-296.46922176465205	296.46922176465193	-296.46922176465193	8.39	304.8592217646519
27	-204.36020719093426	400.33041438186854	133.44347146062285	204.36020719093426	-275.2769429212457	-204.36020719093426	133.44347146062285	133.44347146062285	133.44347146062285	-133.44347146062285	275.2769429212457	133.44347146062285	275.2769429212457	-125.05347146062286	-133.44347146062285	275.2769429212457	-275.2769429212457	-125.05347146062286	125.05347146062286	-125.05347146062289	8.39	133.44347146062285
28	-147.58256364652198	286.7751272930441	95.59170909768136	147.58256364652198	-199.5734181953627	-147.58256364652198	95.59170909768136	95.59170909768136	95.59170909768136	-95.59170909768136	199.5734181953627	95.59170909768136	199.5734181953627	-87.20170909768137	-95.59170909768136	199.5734181953627	-199.5734181953627	-87.20170909768146	87.20170909768137	-87.20170909768137	8.39	95.59170909768135
29	-261.2515201465221	514.1130402930444	171.37101343101477	261.2515201465221	-351.13202686202965	-261.2515201465221	171.3710134310148	171.3710134310148	171.3710134310148	-171.3710134310148	351.13202686202965	171.3710134310148	351.13202686202965	-162.98101343101476	-171.37101343101477	351.13202686202965	-351.13202686202965	-162.98101343101482	162.98101343101476	-162.98101343101473	8.39	171.37101343101483
30	-175.94308173489082	343.49616346978166	114.49872115659389	175.94308173489082	-237.38744231318776	-175.94308173489082	114.49872115659389	114.49872115659389	114.49872115659389	-114.49872115659389	237.38744231318776	114.49872115659389	237.38744231318776	-106.1087211565939	-114.49872115659389	237.38744231318776	-237.38744231318776	-106.1087211565939	106.1087211565939	-106.1087211565939	8.39	114.49872115659389
31	-368.5002884922219	728.6105769844439	242.87019232814794	368.5002884922219	-494.130384656296	-368.5002884922219	242.87019232814797	242.87019232814797	242.87019232814797	-242.87019232814797	494.130384656296	242.87019232814797	494.130384656296	-234.48019232814792	-242.87019232814794	494.130384656296	-494.130384656296	-234.48019232814798	234.48019232814792	-234.48019232814795	8.39	242.870192328148
32	-382.8804388443215	757.370877688643	252.4569592295477	382.8804388443215	-513.3039184590954	-382.8804388443215	252.4569592295477	252.4569592295477	252.4569592295477	-252.4569592295477	513.3039184590954	252.4569592295477	513.3039184590954	-244.0669592295477	-252.4569592295477	513.3039184590954	-513.3039184590954	-244.0669592295476	244.0669592295477	-244.06695922954773	8.39	252.4569592295477
33	-282.67851765567855	556.9670353113571	185.65567843711904	282.67851765567855	-379.70135687423806	-282.67851765567855	185.65567843711904	185.65567843711904	185.65567843711904	-185.65567843711904	379.70135687423806	185.65567843711904	379.70135687423806	-177.26567843711905	-185.65567843711904	379.70135687423806	-379.70135687423806	-177.26567843711905	177.26567843711905	-177.26567843711905	8.39	185.65567843711904
34	-69.17905955265724	129.96811910531449	43.32270636843816	69.17905955265724	-95.03541273687632	-69.17905955265724	43.32270636843816	43.32270636843816	43.32270636843816	-43.32270636843816	95.03541273687632	43.32270636843816	95.03541273687632	-34.93270636843816	-43.32270636843816	95.03541273687632	-95.03541273687632	-34.932706368438176	34.93270636843816	-34.932706368438126	8.39	43.32270636843816
