"","log2FC","p","condition","metab"
"2,4-diaminobutyrate1",1.95711158689873,0.00011,"untreated_5-0","2,4-diaminobutyrate"
"3-(4-hydroxyphenyl)lactate1",3.44177449462783,9.96e-09,"untreated_5-0","3-(4-hydroxyphenyl)lactate"
"3-hydroxy-2-ethylpropionate1",4.30478507694962,6.71e-05,"untreated_5-0","3-hydroxy-2-ethylpropionate"
"3-hydroxyhexanoate1",-1.88591946888766,0.678,"untreated_5-0","3-hydroxyhexanoate"
"3-hydroxyisobutyrate1",-1.6207418280587,2.33e-05,"untreated_5-0","3-hydroxyisobutyrate"
"3-methyl-2-oxovalerate1",0.314992917678035,3.44e-05,"untreated_5-0","3-methyl-2-oxovalerate"
"3-methylglutaconate1",2.08364020453975,2.84e-09,"untreated_5-0","3-methylglutaconate"
"3-phosphoglycerate1",-1.90939979547898,1.94e-06,"untreated_5-0","3-phosphoglycerate"
"3-phosphoserine1",1.27972705400844,0.032,"untreated_5-0","3-phosphoserine"
"3-ureidopropionate1",2.43190948196325,0.000374,"untreated_5-0","3-ureidopropionate"
"3,4-dihydroxy-1,5-cyclohexadiene-1-carboxylic acid1",-0.735565820987535,0.003,"untreated_5-0","3,4-dihydroxy-1,5-cyclohexadiene-1-carboxylic acid"
"4-acetamidobutanoate1",0.323860294102309,0.000179,"untreated_5-0","4-acetamidobutanoate"
"4-hydroxybenzoate1",-1.84380721490494,8.63e-05,"untreated_5-0","4-hydroxybenzoate"
"4-hydroxyphenylacetate1",0.598688780292063,0.000254,"untreated_5-0","4-hydroxyphenylacetate"
"4-hydroxyphenylpyruvate1",-2.69689855464629,0.006,"untreated_5-0","4-hydroxyphenylpyruvate"
"4-imidazoleacetate1",0.669851370867766,0.000962,"untreated_5-0","4-imidazoleacetate"
"4-methyl-2-oxopentanoate1",3.65540101296398,1.03e-06,"untreated_5-0","4-methyl-2-oxopentanoate"
"5-(2-Hydroxyethyl)-4-methylthiazole1",-1.37106189861592,0.034,"untreated_5-0","5-(2-Hydroxyethyl)-4-methylthiazole"
"5-oxoproline1",-6.63310883113351,0.008,"untreated_5-0","5-oxoproline"
"5,6-dihydrouridine1",0.837598405808363,4.78e-07,"untreated_5-0","5,6-dihydrouridine"
"8-hydroxyguanine1",-0.841221154175029,6.96e-05,"untreated_5-0","8-hydroxyguanine"
"adenosine-2',3'-cyclic monophosphate1",-0.359762571054935,0.032,"untreated_5-0","adenosine-2',3'-cyclic monophosphate"
"adenosine 2'-monophosphate (2'-AMP)1",-0.290547864090449,0.007,"untreated_5-0","adenosine 2'-monophosphate (2'-AMP)"
"adenosine 5'-monophosphate (AMP)1",-0.199439090398162,0.041,"untreated_5-0","adenosine 5'-monophosphate (AMP)"
"alanine1",4.43323047782618,0.000963,"untreated_5-0","alanine"
"alanylleucine1",1.2715781529133,0.021,"untreated_5-0","alanylleucine"
"allo-threonine1",1.52686107970307,0.53,"untreated_5-0","allo-threonine"
"alpha-ketoglutarate1",1.84322125367454,0.000573,"untreated_5-0","alpha-ketoglutarate"
"anthranilate1",-3.59474153875477,0.047,"untreated_5-0","anthranilate"
"arabonate/xylonate1",-1.51112871651999,0.000411,"untreated_5-0","arabonate/xylonate"
"arginine1",0.25486373764114,0.000769,"untreated_5-0","arginine"
"asparagine1",3.17744918361342,6.77e-06,"untreated_5-0","asparagine"
"aspartate1",5.57217140794618,0.01,"untreated_5-0","aspartate"
"butyrylglutamine/isobutyrylglutamine1",-1.88089783100959,4.49e-06,"untreated_5-0","butyrylglutamine/isobutyrylglutamine"
"cadaverine1",1.15585291277409,0.017,"untreated_5-0","cadaverine"
"carnitine1",-0.813976919039001,0.000612,"untreated_5-0","carnitine"
"catechol sulfate1",-0.806543698716258,0.07,"untreated_5-0","catechol sulfate"
"choline1",2.82571123129025,0.002,"untreated_5-0","choline"
"cis-urocanate1",0.893476795870863,0.009,"untreated_5-0","cis-urocanate"
"citrate1",1.46235869577959,0.011,"untreated_5-0","citrate"
"cyano-alanine1",1.11409354892003,3.65e-06,"untreated_5-0","cyano-alanine"
"cysteine-glutathione disulfide1",-1.85725648789132,1.22e-05,"untreated_5-0","cysteine-glutathione disulfide"
"cysteine s-sulfate1",0.876408341391568,0.007,"untreated_5-0","cysteine s-sulfate"
"cysteinylglycine disulfide*1",1.33201927594134,1.86e-09,"untreated_5-0","cysteinylglycine disulfide*"
"dimethylarginine (SDMA + ADMA)1",-0.808685846295954,0.031,"untreated_5-0","dimethylarginine (SDMA + ADMA)"
"dimethylglycine1",-0.867698845061012,0.019,"untreated_5-0","dimethylglycine"
"erythritol1",0.596786818667236,3.85e-05,"untreated_5-0","erythritol"
"flavin adenine dinucleotide (FAD)1",-1.73872331643611,6.95e-08,"untreated_5-0","flavin adenine dinucleotide (FAD)"
"fumarate1",-5.62434325221283,0.036,"untreated_5-0","fumarate"
"gamma-glutamylglutamate1",-0.231618940399125,0.000178,"untreated_5-0","gamma-glutamylglutamate"
"gamma-glutamylglutamine1",0.463991487477809,2.72e-10,"untreated_5-0","gamma-glutamylglutamine"
"gamma-glutamylglycine1",-0.284586292377147,2.42e-10,"untreated_5-0","gamma-glutamylglycine"
"gamma-glutamylisoleucine*1",-1.06756893677364,1.63e-05,"untreated_5-0","gamma-glutamylisoleucine*"
"gamma-glutamylleucine1",1.52529686372582,3.17e-06,"untreated_5-0","gamma-glutamylleucine"
